Namespace(wandb=True, batch_size=2048, epochs=10000, learning_rate=1e-05, weight_decay=0.0001, validation_intervals=30, early_stop_patience=100, early_stop_delta=1e-06)
{'epochs': 10000, 'batch_size': 2048, 'validation_intervals': 30, 'learning_rate': 1e-05, 'early_stop_patience': 100, 'early_stop_delta': 1e-06, 'weight_decay': 0.0001}
Training on device cuda:0.
[Epoch   1] T_loss: 0.69403, T_accuracy: 47.2007 | V_loss: 0.69494, V_accuracy: 44.0000 | Early stopping is stated! | T_time: 00:00:00, T_speed: 0.000
[Epoch 930] T_loss: 0.69066, T_accuracy: 53.3259 | V_loss: 0.69860, V_accuracy: 44.0000 | Early stopping counter: 29 out of 100 | T_time: 00:00:27, T_speed: 34.444
[Epoch 960] T_loss: 0.69028, T_accuracy: 53.2151 | V_loss: 0.69839, V_accuracy: 44.0000 | Early stopping counter: 30 out of 100 | T_time: 00:00:28, T_speed: 34.286
[Epoch 990] T_loss: 0.69067, T_accuracy: 53.1596 | V_loss: 0.69837, V_accuracy: 44.0000 | Early stopping counter: 31 out of 100 | T_time: 00:00:29, T_speed: 34.138
[Epoch 1020] T_loss: 0.69073, T_accuracy: 53.0488 | V_loss: 0.69847, V_accuracy: 44.0000 | Early stopping counter: 32 out of 100 | T_time: 00:00:30, T_speed: 34.000
[Epoch 1050] T_loss: 0.69097, T_accuracy: 53.3537 | V_loss: 0.69858, V_accuracy: 44.0000 | Early stopping counter: 33 out of 100 | T_time: 00:00:31, T_speed: 33.871
[Epoch 1080] T_loss: 0.69047, T_accuracy: 53.3259 | V_loss: 0.69859, V_accuracy: 44.0000 | Early stopping counter: 34 out of 100 | T_time: 00:00:32, T_speed: 33.750
[Epoch 1110] T_loss: 0.69057, T_accuracy: 53.1042 | V_loss: 0.69853, V_accuracy: 44.0000 | Early stopping counter: 35 out of 100 | T_time: 00:00:33, T_speed: 33.636
[Epoch 1140] T_loss: 0.69093, T_accuracy: 52.8548 | V_loss: 0.69842, V_accuracy: 44.0000 | Early stopping counter: 36 out of 100 | T_time: 00:00:34, T_speed: 33.529
[Epoch 1170] T_loss: 0.69061, T_accuracy: 53.1874 | V_loss: 0.69832, V_accuracy: 44.0000 | Early stopping counter: 37 out of 100 | T_time: 00:00:34, T_speed: 34.412
[Epoch 1200] T_loss: 0.69073, T_accuracy: 53.1596 | V_loss: 0.69840, V_accuracy: 44.0000 | Early stopping counter: 38 out of 100 | T_time: 00:00:35, T_speed: 34.286
[Epoch 1230] T_loss: 0.69028, T_accuracy: 52.9656 | V_loss: 0.69842, V_accuracy: 44.0000 | Early stopping counter: 39 out of 100 | T_time: 00:00:36, T_speed: 34.167
[Epoch 1260] T_loss: 0.69072, T_accuracy: 53.1874 | V_loss: 0.69883, V_accuracy: 44.0000 | Early stopping counter: 40 out of 100 | T_time: 00:00:37, T_speed: 34.054
[Epoch 1290] T_loss: 0.69068, T_accuracy: 52.9933 | V_loss: 0.69867, V_accuracy: 44.0000 | Early stopping counter: 41 out of 100 | T_time: 00:00:38, T_speed: 33.947
[Epoch 1320] T_loss: 0.69062, T_accuracy: 53.0765 | V_loss: 0.69869, V_accuracy: 44.0000 | Early stopping counter: 42 out of 100 | T_time: 00:00:39, T_speed: 33.846
[Epoch 1350] T_loss: 0.69061, T_accuracy: 53.2151 | V_loss: 0.69850, V_accuracy: 44.0000 | Early stopping counter: 43 out of 100 | T_time: 00:00:40, T_speed: 33.750
[Epoch 1380] T_loss: 0.69042, T_accuracy: 53.0211 | V_loss: 0.69842, V_accuracy: 44.0000 | Early stopping counter: 44 out of 100 | T_time: 00:00:41, T_speed: 33.659
[Epoch 1410] T_loss: 0.69063, T_accuracy: 53.1042 | V_loss: 0.69819, V_accuracy: 44.0000 | Early stopping counter: 45 out of 100 | T_time: 00:00:41, T_speed: 34.390
[Epoch 1440] T_loss: 0.69091, T_accuracy: 52.9379 | V_loss: 0.69826, V_accuracy: 44.0000 | Early stopping counter: 46 out of 100 | T_time: 00:00:42, T_speed: 34.286
[Epoch 1470] T_loss: 0.69043, T_accuracy: 52.9933 | V_loss: 0.69821, V_accuracy: 44.0000 | Early stopping counter: 47 out of 100 | T_time: 00:00:43, T_speed: 34.186
[Epoch 1500] T_loss: 0.69051, T_accuracy: 52.9102 | V_loss: 0.69822, V_accuracy: 44.0000 | Early stopping counter: 48 out of 100 | T_time: 00:00:44, T_speed: 34.091
[Epoch 1530] T_loss: 0.69044, T_accuracy: 53.1874 | V_loss: 0.69856, V_accuracy: 44.0000 | Early stopping counter: 49 out of 100 | T_time: 00:00:45, T_speed: 34.000
[Epoch 1560] T_loss: 0.69058, T_accuracy: 53.2151 | V_loss: 0.69835, V_accuracy: 44.0000 | Early stopping counter: 50 out of 100 | T_time: 00:00:46, T_speed: 33.913
[Epoch 1590] T_loss: 0.69071, T_accuracy: 53.0765 | V_loss: 0.69844, V_accuracy: 44.0000 | Early stopping counter: 51 out of 100 | T_time: 00:00:47, T_speed: 33.830
[Epoch 1620] T_loss: 0.69068, T_accuracy: 53.0211 | V_loss: 0.69839, V_accuracy: 44.0000 | Early stopping counter: 52 out of 100 | T_time: 00:00:48, T_speed: 33.750
[Epoch 1650] T_loss: 0.69073, T_accuracy: 52.9933 | V_loss: 0.69839, V_accuracy: 44.0000 | Early stopping counter: 53 out of 100 | T_time: 00:00:49, T_speed: 33.673
[Epoch 1680] T_loss: 0.69058, T_accuracy: 53.0765 | V_loss: 0.69818, V_accuracy: 44.0000 | Early stopping counter: 54 out of 100 | T_time: 00:00:50, T_speed: 33.600
[Epoch 1710] T_loss: 0.69081, T_accuracy: 53.1042 | V_loss: 0.69833, V_accuracy: 44.0000 | Early stopping counter: 55 out of 100 | T_time: 00:00:50, T_speed: 34.200
[Epoch 1740] T_loss: 0.69059, T_accuracy: 53.1042 | V_loss: 0.69824, V_accuracy: 44.0000 | Early stopping counter: 56 out of 100 | T_time: 00:00:51, T_speed: 34.118
[Epoch 1770] T_loss: 0.69023, T_accuracy: 53.0211 | V_loss: 0.69811, V_accuracy: 44.0000 | Early stopping counter: 57 out of 100 | T_time: 00:00:52, T_speed: 34.038
[Epoch 1800] T_loss: 0.69058, T_accuracy: 53.1042 | V_loss: 0.69831, V_accuracy: 44.0000 | Early stopping counter: 58 out of 100 | T_time: 00:00:53, T_speed: 33.962
[Epoch 1830] T_loss: 0.69074, T_accuracy: 53.1042 | V_loss: 0.69847, V_accuracy: 44.0000 | Early stopping counter: 59 out of 100 | T_time: 00:00:54, T_speed: 33.889
[Epoch 1860] T_loss: 0.69068, T_accuracy: 53.2428 | V_loss: 0.69853, V_accuracy: 44.0000 | Early stopping counter: 60 out of 100 | T_time: 00:00:55, T_speed: 33.818
[Epoch 1890] T_loss: 0.69051, T_accuracy: 53.2705 | V_loss: 0.69841, V_accuracy: 44.0000 | Early stopping counter: 61 out of 100 | T_time: 00:00:56, T_speed: 33.750
[Epoch 1920] T_loss: 0.69060, T_accuracy: 52.9656 | V_loss: 0.69850, V_accuracy: 44.0000 | Early stopping counter: 62 out of 100 | T_time: 00:00:56, T_speed: 34.286
[Epoch 1950] T_loss: 0.69095, T_accuracy: 52.9656 | V_loss: 0.69833, V_accuracy: 44.0000 | Early stopping counter: 63 out of 100 | T_time: 00:00:57, T_speed: 34.211
[Epoch 1980] T_loss: 0.69048, T_accuracy: 53.0765 | V_loss: 0.69836, V_accuracy: 44.0000 | Early stopping counter: 64 out of 100 | T_time: 00:00:58, T_speed: 34.138
